user_id,book_id,rating
384,741,4
384,4722,5
384,4253,5
384,4027,5
384,5263,5
384,501,5
384,3197,5
384,5929,5
384,1711,3
384,2863,4
384,6903,5
384,1078,2
624,18,4
624,21,3
624,1530,5
624,117,4
624,1196,3
624,160,2
624,100,1
624,43,4
624,7,5
624,9287,3
624,1797,1
624,265,3
624,1969,4
624,550,5
624,704,2
624,4130,3
624,80,2
624,354,3
624,126,5
624,2616,3
624,5630,2
624,663,5
624,1096,4
624,5051,3
624,2798,4
624,2015,1
624,604,2
624,413,4
624,272,4
624,133,4
624,38,3
624,118,3
624,1458,3
624,136,1
624,595,4
624,42,3
624,341,4
624,79,5
624,561,3
624,59,4
624,219,4
624,718,4
624,1094,2
624,961,4
624,119,5
624,270,2
624,763,4
624,407,3
624,148,2
624,795,2
624,730,1
624,75,2
624,1635,5
624,180,3
624,646,4
624,1518,3
624,1785,3
624,826,3
624,637,3
624,357,4
624,766,2
624,529,4
624,95,3
624,2241,2
624,296,4
624,6600,4
624,289,4
624,233,4
624,1378,3
624,306,3
624,538,3
624,66,3
624,3791,1
624,172,1
624,9545,1
624,85,4
624,198,3
624,468,4
624,456,3
624,408,5
624,1315,2
624,6920,5
810,1218,3
810,1925,3
810,13,4
810,219,5
810,37,5
810,362,5
810,60,3
810,4715,4
810,19,5
810,23,5
810,28,4
810,45,2
810,58,5
810,32,5
810,55,3
810,26,1
810,24,4
810,21,5
810,2,5
810,5,5
810,4,5
810,8,5
810,155,5
810,7,5
810,189,5
810,7907,5
810,5754,5
810,4336,5
810,4510,3
810,4238,5
810,5935,4
810,8801,5
810,5948,3
810,5808,5
810,5210,4
810,8033,5
810,5670,4
810,296,5
810,472,5
810,130,5
810,401,3
810,395,4
810,264,4
810,3126,5
810,3472,5
810,4942,5
810,6863,5
810,4939,4
810,495,4
810,3092,5
810,948,4
810,4081,3
810,1739,4
810,3033,3
810,6944,5
810,4422,1
810,743,3
810,374,5
810,439,5
810,3250,2
810,238,3
810,18,4
810,3061,4
810,1106,5
810,493,3
810,14,3
810,65,5
810,9576,3
624,101,5
624,476,4
810,341,5
810,79,5
810,114,2
810,113,5
810,3582,5
810,1721,4
810,2557,4
810,2647,3
810,9,2
810,50,5
810,92,3
810,35,4
810,773,3
810,161,5
810,117,3
810,4861,3
810,1025,4
810,1090,5
810,3979,4
810,4309,2
810,1802,2
810,209,3
810,3443,3
624,271,3
624,3489,4
624,661,5
624,401,3
624,1160,3
624,109,1
624,545,1
624,738,5
624,4815,1
624,245,3
980,4,5
980,2,4
980,24,3
980,21,2
980,28,4
980,36,5
980,3767,5
980,2188,3
980,9070,2
980,383,3
980,111,2
980,122,1
980,287,4
980,22,2
980,45,4
980,38,5
980,344,3
980,60,2
980,13,2
980,5,3
980,3468,5
980,1317,3
1135,335,4
1135,33,3
1135,22,3
1135,1796,3
1135,3508,4
1135,26,4
1135,9,2
1135,40,4
1135,11,4
1135,92,4
1135,1184,2
1135,819,3
1135,1938,4
1135,373,3
1135,158,3
1135,416,4
1135,4,3
1135,78,3
1135,1888,4
1135,87,4
1135,9691,3
1135,42,3
1135,50,3
1135,85,5
1135,179,3
624,2615,4
624,7817,5
1135,148,4
1135,97,5
1135,2029,3
1135,690,3
1135,354,4
1135,436,3
624,62,4
624,121,3
624,29,4
624,154,3
624,248,4
624,530,5
624,855,5
624,839,3
624,773,4
624,6692,3
624,6417,3
624,7353,3
624,1666,4
1265,4,4
1265,2,4
1265,24,4
1265,21,4
1265,27,4
1265,26,3
1265,23,4
1265,33,5
1265,516,4
1265,122,5
1265,9,3
1265,3837,1
1265,2028,1
1265,2192,4
1265,2075,4
1265,6109,4
1265,6121,4
1265,5517,4
1265,205,4
1265,696,4
1265,898,4
1265,1533,2
1265,1217,5
1265,2347,4
1265,1633,2
1265,2604,2
1265,3128,5
1265,4251,3
1265,4579,2
1265,7214,1
1265,854,4
1265,108,1
1265,955,1
1265,228,2
1265,2069,3
1265,8667,4
1265,3834,3
1265,136,1
1265,304,4
1265,1311,1
1265,457,4
1265,5449,5
1135,116,3
1135,464,5
1135,5,3
1135,1392,2
1135,1373,3
1135,577,5
1135,47,3
1135,1714,3
1135,715,4
980,316,4
1135,855,3
1135,530,3
1135,839,4
1135,773,2
1135,804,4
1135,6417,3
1135,1666,5
1135,1566,3
1135,2508,2
1135,5629,3
624,1105,3
1135,9864,3
624,25,5
624,9691,3
624,593,3
624,71,2
624,177,2
624,63,3
624,157,4
624,36,3
624,93,5
624,391,5
624,540,4
624,321,5
624,577,3
624,672,3
624,823,2
624,3229,3
624,501,3
624,1058,3
624,982,4
624,7208,3
624,90,3
624,386,5
1135,1825,3
1529,25,5
1529,550,5
1529,2357,4
1529,895,4
1529,287,4
1558,1530,4
1558,4383,5
1558,54,4
1558,599,3
1558,751,3
1558,19,5
1558,42,4
1558,57,4
1558,62,4
1558,155,5
1558,161,4
1558,53,4
1558,345,3
1558,126,4
1558,1105,2
1558,1262,3
1558,398,4
1558,4171,4
1558,85,4
1558,48,4
1558,213,3
1558,63,3
1558,43,4
1558,15,4
1558,71,3
1135,46,3
1558,943,2
1135,186,3
1592,426,4
1592,9587,4
1592,7789,3
1592,78,4
1592,1005,5
1592,1928,4
1592,3519,5
1553,2810,3
1553,372,4
1592,1888,4
1592,587,4
1592,249,5
1553,560,1
1553,646,3
1553,483,3
1553,6291,4
1553,90,4
1553,427,5
1553,1146,5
1558,86,4
624,192,4
624,368,4
780,130,3
780,1748,3
780,5615,3
780,132,4
780,7965,3
780,43,4
780,33,4
780,896,2
780,2745,2
780,101,3
780,57,2
780,2015,2
780,6566,2
780,2136,3
780,15,4
780,4391,3
780,730,4
780,350,3
780,3646,5
780,3546,5
780,6021,5
780,941,3
780,4732,2
780,1083,5
780,304,4
780,710,3
780,5430,3
780,3997,3
780,9663,3
780,4227,4
780,407,4
780,7652,3
780,6829,3
780,383,3
780,4390,3
780,2671,4
780,7399,2
780,2679,3
780,3610,3
780,306,3
780,3568,4
780,238,2
780,64,5
780,4096,4
2255,63,4
2255,205,4
2255,696,4
2255,898,4
2255,7214,1
2255,5,4
2255,125,4
2255,154,4
2255,699,4
2255,3758,4
2255,6002,4
2255,3899,4
2255,6551,4
2255,6973,4
2255,7170,4
2255,9195,4
2255,6005,4
2255,5800,4
2255,7820,4
2255,8767,5
2255,7519,4
2255,9175,4
2255,646,4
2255,248,5
2255,353,4
2255,530,5
2255,714,4
2255,773,5
2255,3595,5
2255,341,5
2255,79,5
2255,25,4
2255,27,4
2255,2,3
2255,23,3
2255,18,2
2255,24,5
2255,21,4
2255,6204,4
2255,2336,4
2255,9679,3
2255,9311,3
2255,4727,3
1135,6317,4
780,308,4
780,1936,4
780,172,3
780,476,3
780,83,4
780,87,3
780,4005,4
1553,3595,4
624,2994,4
624,7082,4
1558,33,5
1558,368,4
1558,480,4
1558,11,5
1558,67,4
1558,92,3
2585,3794,3
2585,8681,3
2585,8253,3
2585,9664,3
2585,8555,3
2585,2366,5
2585,6341,3
2585,181,5
2585,772,2
2585,1084,2
2612,2,5
2612,420,3
2612,7955,5
2612,683,3
2612,18,5
2612,24,5
2612,27,5
2612,21,5
2612,23,5
2585,1222,3
2585,161,1
2585,1367,2
2585,150,1
2585,1681,4
2585,236,3
2585,1378,3
2585,743,3
2585,80,4
2585,87,1
2585,162,3
2585,576,3
2585,958,1
2585,172,1
2585,410,1
2585,167,3
2585,593,2
2585,3892,2
2585,650,2
1553,6123,3
1558,372,4
780,1007,4
2662,2,3
2662,8,4
2662,5,5
2662,27,3
2662,24,3
2662,21,3
2662,18,3
2662,23,3
2662,25,3
2662,10,4
2662,28,5
2662,50,4
2662,58,4
2662,287,4
2662,92,3
2662,7652,5
2662,108,5
2662,4,5
2662,32,5
2662,205,5
2662,696,5
2662,898,5
2662,1217,4
2662,1533,5
2662,1633,5
2662,2347,4
2662,1993,4
2662,2604,4
2662,3128,5
2662,3477,4
2662,3340,4
2662,6665,5
2662,4192,4
2662,4251,4
2662,2701,2
2662,7260,5
2662,4579,4
2662,5290,4
2662,5928,4
2662,4989,2
2662,4820,2
2662,7214,4
2662,8269,3
2662,9363,2
2662,691,5
2662,85,5
2662,93,5
2662,76,4
2662,2015,2
2612,500,4
2612,3452,3
2612,3583,4
2612,4345,3
2612,5402,3
2612,45,3
2612,75,3
2612,552,3
2612,9033,4
2612,7795,4
2612,5953,5
2662,5727,5
2612,184,5
2612,158,4
2612,107,4
2612,29,4
2612,310,3
2662,8732,2
2662,43,3
2612,5778,3
2612,635,3
2612,161,4
2612,639,5
2662,160,5
2612,2571,3
2612,868,3
2612,681,3
2612,5493,4
2612,544,4
2662,4118,5
2662,37,5
2662,2781,5
2662,1277,5
2662,582,5
2662,335,4
2662,138,5
2662,63,5
2662,1625,3
2662,448,3
2662,117,5
2662,213,4
2662,59,5
780,1655,4
780,508,4
780,8160,4
780,479,5
780,6173,5
780,867,4
780,2539,3
780,3945,4
2612,19,3
2696,3123,4
2696,150,3
2696,60,3
2696,256,3
2696,378,3
2696,436,3
2696,94,5
2696,1672,5
2696,1888,4
2696,11,5
2696,57,2
2696,1957,3
2696,82,2
2696,48,3
2696,407,5
2696,4237,3
2696,22,3
2662,237,5
2662,243,4
2662,556,3
2662,944,3
2662,915,4
2662,2352,3
2696,233,3
624,1049,3
624,3570,3
624,5175,4
2585,427,3
2585,618,4
2585,1314,4
2585,102,3
2585,497,1
2585,1650,1
2585,233,4
2585,1269,2
2585,7500,2
2585,2259,3
2585,391,3
2662,587,5
2585,3210,5
2585,758,3
2585,1707,4
780,66,4
780,1234,3
780,604,4
780,10,4
780,9171,3
780,9000,3
780,650,4
780,6304,4
780,9186,3
780,3018,4
780,800,4
780,136,3
780,4400,3
780,1426,3
780,616,3
780,1149,4
780,331,3
780,381,4
780,829,3
780,1094,4
780,8439,2
780,261,3
780,795,4
780,663,5
780,80,4
